pitcher_id,pitcher_trackman_id,votes,total,conf
23190,63492,94,94,1.0
24038,51516,93,93,1.0
23672,69539,93,93,1.0
21916,77446,92,92,1.0
24100,51264,92,92,1.0
23597,63961,91,91,1.0
22730,65056,91,91,1.0
24444,53892,89,89,1.0
23289,64051,88,88,1.0
22761,65639,88,88,1.0
22820,66145,87,87,1.0
22312,61411,87,87,1.0
22292,61666,86,86,1.0
22720,64001,86,86,1.0
23518,68419,85,85,1.0
23347,67539,85,85,1.0
21558,74359,83,83,1.0
23555,68220,83,83,1.0
22380,62754,83,83,1.0
23632,63638,82,82,1.0
22905,63512,82,82,1.0
22721,64017,81,81,1.0
23418,65109,79,79,1.0
21991,78517,78,78,1.0
24136,51713,78,78,1.0
23853,50157,78,78,1.0
22708,65764,78,78,1.0
23781,593417,77,77,1.0
23897,573185,77,77,1.0
22201,60339,76,76,1.0
24344,53139,75,75,1.0
23784,534648,75,75,1.0
23631,63991,74,74,1.0
21998,78148,73,73,1.0
22675,64893,72,72,1.0
23987,628333,72,72,1.0
23988,50030,72,72,1.0
24185,52397,71,71,1.0
21955,77829,71,71,1.0
22404,62655,71,71,1.0
24129,51715,71,71,1.0
22583,78536,69,69,1.0
24234,52206,69,69,1.0
23369,67419,68,68,1.0
21840,76757,68,68,1.0
21813,76225,67,67,1.0
23206,66920,67,67,1.0
21622,74513,66,66,1.0
23565,68200,66,66,1.0
22015,78247,65,65,1.0
23484,68092,65,65,1.0
24222,656212,65,65,1.0
23787,69054,64,64,1.0
24078,51994,64,64,1.0
22595,62920,64,64,1.0
23334,67737,63,63,1.0
22180,79293,61,61,1.0
23035,65933,60,60,1.0
21654,75342,60,60,1.0
24178,52330,58,58,1.0
23852,50126,58,58,1.0
21961,77637,58,58,1.0
23496,63628,58,58,1.0
23932,50726,58,58,1.0
24055,51897,57,57,1.0
23542,68896,57,57,1.0
23642,69108,57,57,1.0
24300,605138,57,57,1.0
23030,66451,56,56,1.0
22867,66305,55,55,1.0
23257,67954,54,54,1.0
21279,72447,53,53,1.0
23426,65117,52,52,1.0
24265,52639,51,51,1.0
23112,64768,51,51,1.0
22118,79847,50,50,1.0
23504,68619,50,50,1.0
23617,68249,49,49,1.0
24355,53754,49,49,1.0
24319,53996,48,48,1.0
23772,69974,48,48,1.0
24240,52701,48,48,1.0
24527,54263,48,48,1.0
23411,502010,47,47,1.0
24410,642558,47,47,1.0
22131,79229,47,47,1.0
23953,50203,47,47,1.0
20700,99445,46,46,1.0
22840,65241,46,46,1.0
24086,51359,46,46,1.0
24305,570240,45,45,1.0
24205,52903,45,45,1.0
23475,68036,45,45,1.0
23695,69745,45,45,1.0
23694,599683,44,44,1.0
22192,60841,43,43,1.0
23749,69360,42,42,1.0
24053,521655,42,42,1.0
23455,68556,42,42,1.0
24209,52530,42,42,1.0
22469,63145,42,42,1.0
22734,65058,42,42,1.0
22309,61456,41,41,1.0
23090,73248,41,41,1.0
23105,64861,40,40,1.0
23422,68135,40,40,1.0
24283,544150,40,40,1.0
23737,69205,39,39,1.0
24099,51230,38,38,1.0
24465,658792,38,38,1.0
23628,61295,38,38,1.0
22925,64718,38,38,1.0
24164,592644,38,38,1.0
23101,64896,38,38,1.0
22596,62937,38,38,1.0
23284,67365,38,38,1.0
23231,67116,37,37,1.0
23568,68703,37,37,1.0
23229,67143,37,37,1.0
24310,663399,37,37,1.0
23676,69594,36,36,1.0
23748,69399,36,36,1.0
22280,61156,36,36,1.0
24115,51648,36,36,1.0
23696,518445,35,35,1.0
23871,50464,35,35,1.0
24392,53609,35,35,1.0
24460,606273,35,35,1.0
24076,51948,35,35,1.0
22505,63348,34,34,1.0
23293,67646,34,34,1.0
23869,50441,34,34,1.0
23362,67443,34,34,1.0
24447,53898,33,33,1.0
24028,51097,33,33,1.0
21795,76455,33,33,1.0
24042,51594,33,33,1.0
23258,67956,33,33,1.0
22911,75321,33,33,1.0
22123,79825,32,32,1.0
23462,68501,32,32,1.0
23703,69703,32,32,1.0
22731,65057,31,31,1.0
24085,641149,31,31,1.0
23644,69113,31,31,1.0
23982,50393,31,31,1.0
23731,69213,31,31,1.0
23650,69620,30,30,1.0
23761,69839,30,30,1.0
24211,52558,30,30,1.0
23771,69969,30,30,1.0
24544,54729,30,30,1.0
23638,69168,30,30,1.0
24043,575070,30,30,1.0
24088,51393,29,29,1.0
23137,65398,29,29,1.0
23092,63894,29,29,1.0
24193,621169,28,28,1.0
24469,54561,28,28,1.0
23790,69068,28,28,1.0
22666,64760,28,28,1.0
23554,63292,28,28,1.0
24483,608650,28,28,1.0
24109,664641,28,28,1.0
23930,50720,28,28,1.0
24573,54368,28,28,1.0
23991,50036,27,27,1.0
23849,594902,27,27,1.0
23513,68415,27,27,1.0
22622,63914,27,27,1.0
23972,50904,27,27,1.0
23747,69328,27,27,1.0
24459,645307,27,27,1.0
24570,646241,26,26,1.0
24327,607200,26,26,1.0
23005,66492,26,26,1.0
22541,63749,26,26,1.0
22234,60845,26,26,1.0
24140,543001,26,26,1.0
23415,458676,26,26,1.0
23689,64554,25,25,1.0
23870,50449,25,25,1.0
24237,476594,25,25,1.0
24183,52395,25,25,1.0
23860,50109,24,24,1.0
23260,67962,24,24,1.0
24541,657756,24,24,1.0
22261,60181,23,23,1.0
20938,70425,23,23,1.0
23962,605541,23,23,1.0
24440,668948,23,23,1.0
24604,547943,23,23,1.0
23915,592468,23,23,1.0
24540,660593,22,22,1.0
24509,606996,22,22,1.0
23963,50992,22,22,1.0
23684,69516,22,22,1.0
24546,54768,21,21,1.0
24329,53262,21,21,1.0
21978,77591,21,21,1.0
23977,50354,21,21,1.0
23157,66047,21,21,1.0
22136,79440,21,21,1.0
22335,61214,21,21,1.0
21549,74454,21,21,1.0
23697,69762,21,21,1.0
23154,64029,20,20,1.0
23653,69645,20,20,1.0
24021,605498,20,20,1.0
23500,68659,20,20,1.0
22703,548384,20,20,1.0
23336,67711,20,20,1.0
24059,51809,20,20,1.0
22964,66741,20,20,1.0
24619,623454,19,19,1.0
23574,68701,19,19,1.0
24110,621141,19,19,1.0
22901,65522,19,19,1.0
22776,65042,18,18,1.0
23713,69413,18,18,1.0
24286,52641,18,18,1.0
24389,53613,18,18,1.0
23751,69367,18,18,1.0
23916,543193,18,18,1.0
23458,68529,18,18,1.0
22932,66630,17,17,1.0
24411,53455,17,17,1.0
23944,623167,17,17,1.0
24133,51761,17,17,1.0
23783,69047,17,17,1.0
24623,642545,17,17,1.0
24607,54063,17,17,1.0
21595,74630,17,17,1.0
23054,65964,17,17,1.0
23421,68130,16,16,1.0
23898,592716,16,16,1.0
24044,51526,16,16,1.0
24423,642203,16,16,1.0
23564,68269,16,16,1.0
22615,62966,16,16,1.0
24485,54149,16,16,1.0
21874,76355,16,16,1.0
24223,642098,16,16,1.0
24568,54319,16,16,1.0
24508,641447,16,16,1.0
23294,67640,16,16,1.0
24571,54362,15,15,1.0
24482,54537,15,15,1.0
23917,605156,15,15,1.0
24626,680802,15,15,1.0
23654,69646,15,15,1.0
23954,50205,15,15,1.0
23082,77563,14,14,1.0
24328,53259,14,14,1.0
22220,60634,14,14,1.0
23557,68240,14,14,1.0
23651,545363,14,14,1.0
23717,69435,14,14,1.0
23736,69204,14,14,1.0
24401,53301,14,14,1.0
24166,52873,14,14,1.0
22926,66557,13,13,1.0
22478,63103,13,13,1.0
21754,75258,13,13,1.0
22785,65392,13,13,1.0
22233,60757,13,13,1.0
23904,50812,13,13,1.0
23567,68797,13,13,1.0
23655,69656,12,12,1.0
24047,51546,12,12,1.0
22321,61329,12,12,1.0
24512,54900,12,12,1.0
23560,68260,12,12,1.0
23361,67467,12,12,1.0
23332,67762,12,12,1.0
23648,66663,12,12,1.0
24461,641855,11,11,1.0
24467,668684,11,11,1.0
24376,53594,11,11,1.0
23158,66068,11,11,1.0
23759,69813,11,11,1.0
23383,67048,11,11,1.0
23955,50206,11,11,1.0
24147,543208,11,11,1.0
23151,66064,11,11,1.0
22933,66660,11,11,1.0
24622,54843,10,10,1.0
24146,543557,10,10,1.0
23204,573348,10,10,1.0
24560,664942,10,10,1.0
23902,65411,10,10,1.0
24169,52868,10,10,1.0
24399,53300,10,10,1.0
23766,69934,10,10,1.0
24026,51058,10,10,1.0
24277,52460,10,10,1.0
24306,623381,10,10,1.0
23673,69550,10,10,1.0
22487,63111,10,10,1.0
23024,66493,10,10,1.0
23122,64759,10,10,1.0
24239,467100,10,10,1.0
24373,53562,9,9,1.0
24629,622694,9,9,1.0
24608,54064,9,9,1.0
22784,65696,9,9,1.0
23640,69104,9,9,1.0
24307,596049,9,9,1.0
24126,596043,9,9,1.0
24269,543594,9,9,1.0
23177,66201,9,9,1.0
23097,65844,9,9,1.0
23366,67454,9,9,1.0
23532,68830,8,8,1.0
24515,54903,8,8,1.0
23758,621245,8,8,1.0
23868,50430,8,8,1.0
24117,51665,8,8,1.0
24118,51668,8,8,1.0
24303,606162,8,8,1.0
24241,52731,8,8,1.0
23872,50411,8,8,1.0
24313,571616,8,8,1.0
24039,51586,8,8,1.0
23150,63104,8,8,1.0
24537,54404,8,8,1.0
24627,666364,8,8,1.0
22869,61396,7,7,1.0
22640,64155,7,7,1.0
24197,52994,7,7,1.0
21699,75138,7,7,1.0
22742,65067,7,7,1.0
24020,51143,7,7,1.0
24424,676641,7,7,1.0
23843,543184,7,7,1.0
24434,53006,7,7,1.0
24388,641312,7,7,1.0
23498,64615,6,6,1.0
24011,51154,6,6,1.0
24018,51111,6,6,1.0
23966,50901,6,6,1.0
24051,51867,6,6,1.0
24271,657122,6,6,1.0
24525,54913,6,6,1.0
22851,76350,6,6,1.0
24064,51460,6,6,1.0
23236,67259,6,6,1.0
23942,50706,6,6,1.0
23342,67591,6,6,1.0
24463,532936,6,6,1.0
24343,53164,6,6,1.0
23951,50296,6,6,1.0
24387,658431,5,5,1.0
24494,667498,5,5,1.0
21095,71118,5,5,1.0
23385,67045,5,5,1.0
24157,52119,5,5,1.0
23964,50995,5,5,1.0
23599,68910,5,5,1.0
22428,62263,5,5,1.0
22597,62929,5,5,1.0
23779,69996,5,5,1.0
24624,682027,5,5,1.0
23461,68589,5,5,1.0
24572,54363,5,5,1.0
22978,74167,5,5,1.0
22029,78366,5,5,1.0
23636,69158,4,4,1.0
22821,66160,4,4,1.0
23887,50563,4,4,1.0
21415,73750,4,4,1.0
23596,63936,4,4,1.0
24179,52394,4,4,1.0
24377,53560,4,4,1.0
23232,67164,4,4,1.0
24314,53919,4,4,1.0
22923,65509,4,4,1.0
24484,683412,4,4,1.0
23556,61962,4,4,1.0
23384,67066,4,4,1.0
24412,53469,4,4,1.0
24334,53298,4,4,1.0
24425,53029,4,4,1.0
23145,66858,3,3,1.0
23600,65937,3,3,1.0
23952,50298,3,3,1.0
24559,640444,3,3,1.0
24027,51060,3,3,1.0
24317,53973,3,3,1.0
24516,54904,3,3,1.0
23968,50905,3,3,1.0
24579,54304,3,3,1.0
23895,50596,3,3,1.0
24102,51294,3,3,1.0
23985,50397,3,3,1.0
23934,50711,3,3,1.0
23488,68097,3,3,1.0
22345,61208,3,3,1.0
23775,69991,3,3,1.0
24173,52809,3,3,1.0
24566,54608,3,3,1.0
23424,68159,3,3,1.0
23947,50262,3,3,1.0
24398,53312,3,3,1.0
23360,64464,3,3,1.0
23850,69098,3,3,1.0
23866,69803,2,2,1.0
24631,641778,2,2,1.0
22985,65703,2,2,1.0
24499,54803,2,2,1.0
22795,67122,2,2,1.0
22548,62648,2,2,1.0
22915,72862,2,2,1.0
23931,50758,2,2,1.0
23343,67588,2,2,1.0
23499,65618,2,2,1.0
24380,53596,2,2,1.0
24502,54807,2,2,1.0
23886,50592,2,2,1.0
22007,78819,2,2,1.0
24201,52902,2,2,1.0
24248,52715,2,2,1.0
24165,52867,2,2,1.0
23115,65827,2,2,1.0
23690,63791,2,2,1.0
23643,69111,2,2,1.0
24253,52063,2,2,1.0
24052,592499,2,2,1.0
23110,62056,1,1,1.0
21587,74731,1,1,1.0
22904,66556,1,1,1.0
23879,64498,1,1,1.0
22763,62908,1,1,1.0
24151,649963,1,1,1.0
23302,67604,1,1,1.0
23927,50650,1,1,1.0
23909,50813,1,1,1.0
22893,65514,1,1,1.0
23670,64501,1,1,1.0
22739,64504,1,1,1.0
22332,61700,1,1,1.0
23116,65464,1,1,1.0
21170,71837,1,1,1.0
24181,52391,1,1,1.0
23305,67606,1,1,1.0
23884,50573,1,1,1.0
23476,68050,1,1,1.0
23727,68207,1,1,1.0
23444,68362,1,1,1.0
24152,52149,1,1,1.0
21624,74543,1,1,1.0
24097,595001,1,1,1.0
22099,79130,1,1,1.0
24153,52140,1,1,1.0
22722,64041,1,1,1.0
23680,69507,1,1,1.0
24340,668766,1,1,1.0
24226,52295,1,1,1.0
23348,493193,1,1,1.0
23182,62294,1,1,1.0
23693,69737,1,1,1.0
22250,60264,1,1,1.0
23538,68848,1,1,1.0
23331,67768,1,1,1.0
23175,66039,1,1,1.0
23967,50900,1,1,1.0
22579,62595,1,1,1.0
22110,79617,1,1,1.0
23959,50211,1,1,1.0
23094,66859,1,1,1.0
24013,51110,1,1,1.0
24477,54503,1,1,1.0
24633,657770,1,1,1.0
23921,50604,1,1,1.0
24565,54645,1,1,1.0
24531,54213,1,1,1.0
